Song,Artist,Song Lenght (ms),Popularity,Release date,Song Id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Tempo,Key,Loudness,Mode,Time Signature,Valence
Aerolínea Carrillo,T3R Elemento,174275,75,2018-11-16,0xYTyyfV767E2Vn3hz56kL,0.337,0.669,0.561,0.561,0.561,0.0318,114.405,1,-6.613,1,3,0.867
PPP,KEVIN ROLDAN,129039,66,2018-09-07,1DcxnVNFAyVl2sDQ646pXS,0.363,0.786,0.65,0.65,0.65,0.109,92.975,4,-6.839,1,4,0.712
Me Dedique a Perderte,Luis Alfonso Partida El Yaki,192479,31,2018-08-02,6zw7KlZeJBxipnNUjm1fUE,0.589,0.531,0.489,0.489,0.489,0.11,80.715,8,-13.675,1,3,0.862
I Don't Care (with Justin Bieber),Ed Sheeran & Justin Bieber,219946,80,2019-05-10,3HVWdVOQ0ZA45FuZGSfvns,0.0912,0.798,0.675,0.675,0.675,0.0442,101.956,6,-5.041,1,4,0.842
Adiós Amor,Christian Nodal,199320,79,2017-08-25,63bmZnBN1CiJ9sA4qTEe8y,0.169,0.433,0.431,0.431,0.431,0.0367,177.732,2,-6.422,1,4,0.722
"Yo x Ti, Tu x Mi",ROSALÍA,201040,77,2019-08-15,7BlBVFwvbWvcwNcUarQmjk,0.462,0.78,0.759,0.759,0.759,0.225,91.952,1,-3.292,1,4,0.579
Sin Pijama,Becky G,188560,71,2018-04-20,2ijef6ni2amuunRoKTlgww,0.354,0.791,0.745,0.745,0.745,0.0464,94.014,11,-3.695,0,4,0.82
No Hay Nadie Más,Sebastian Yatra,199733,78,2018-05-18,3IPJg1sdqLj12kFIndaonN,0.861,0.695,0.379,0.379,0.379,0.0339,105.108,6,-9.096,1,4,0.808
Probablemente,Christian Nodal,233546,71,2017-08-25,4prmUBle7TtAeeUgCnsc3Z,0.393,0.589,0.49,0.49,0.49,0.0302,160.179,7,-5.291,1,4,0.604
"thank u, next",Ariana Grande,207320,84,2019-02-08,3e9HZxeyfWwjeyPAMmWSSQ,0.229,0.717,0.653,0.653,0.653,0.0658,106.966,1,-5.634,1,4,0.412
La Incondicional,Luis Miguel,257026,82,1988-11-25,6F9yAYUaNbUhdlQyt5uZ3b,0.237,0.374,0.727,0.727,0.727,0.0309,155.127,10,-4.352,1,4,0.283
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,235545,69,2018-06-15,6V1bu6o1Yo5ZXnsCJU8Ovk,0.568,0.851,0.541,0.541,0.541,0.0505,124.959,0,-6.825,1,4,0.448
Sucker,Jonas Brothers,181026,84,2019-06-07,22vgEDb5hykfaTwLuskFGD,0.0427,0.842,0.734,0.734,0.734,0.0588,137.958,1,-5.065,0,4,0.952
Cuando Nadie Ve,Morat,219586,81,2018-10-25,71iAechwVKGu26pahzFL0k,0.133,0.806,0.778,0.778,0.778,0.0616,95.993,1,-4.577,0,4,0.84
Que Le De,Rauw Alejandro,225600,60,2019-01-25,08aYFNUTIOMGq93e2VSArQ,0.19,0.77,0.75,0.75,0.75,0.0785,99.997,0,-2.715,1,4,0.609
Ponle,Rvssian,164764,67,2018-09-06,28O1p0bQXH2F6Qn8jBZZR4,0.188,0.857,0.772,0.772,0.772,0.195,94.03,10,-4.737,0,4,0.589
